paperid,originalaffiliation
43305077,"Department of Computer Science, University of British Columbia, Vancouver, Canada#TAB#"
43305077,"Institute of Computer Science, University of Potsdam, Potsdam, Germany#TAB#"
43335481,Linköping University#TAB#
43804564,University of Milano Bicocca
43804564,University of Roma Tor Vergata
44106490,"Edith Cowan University, Mt Lawley, Western Australia#TAB#"
44269449,"Department of Computer Science, State University of New York, Albany, NY#TAB#"
44269449,"Department of Mathematics, University of New Haven, West Haven, CT#TAB#"
44702573,Northwestern Polytechnical University
44708825,"Escuela Superior de Ingeniería Mecánica y Eléctrica, IPN, Mexico City, Mexico#TAB#"
44842662,"Jožef Stefan Institute, Ljubljana, Slovenia#TAB#"
44842662,"Universitat Politècnica de Catalunya, Barcelona, Spain#TAB#"
45029156,"Dipartimento di Informatica e Sistemistica, Università degli Studi di Napoli Federico II, Napoli, Italy#TAB#"
45195700,"Instituto de Aplicaciones de las Tecnologías de la Información y de las Comunicaciones Avanzadas, Universidad Politécnica de Valencia, Valencia, Spain#TAB#"
45195700,"McConnell Brain Imaging Centre, Montreal Neurological Institute, McGill University, Montreal, Canada. University, Montreal, Canada#TAB#"
45295214,Democritus University of Thrace
45551173,"INRS-Énergie-Matériaux-Télécommunications, Montréal, Canada#TAB#"
45551173,"Université de Moncton, Canada#TAB#"
45552821,Università del Piemonte Orientale
45679362,"RWTH Aachen University, Germany#TAB#"
45690777,"Dipartimento di Informatica, Università di Pisa, Pisa, France#TAB#"
45690777,"ISTI-CNR, Pisa, France#TAB#"
46089724,"Lakeside Labs, Institute for Networked and Embedded Systems, University of Klagenfurt#TAB#"
46458329,"Fraunhofer Institute Intelligent Analysis and Information Systems IAIS, Schloss Birlinghoven, Sankt Augustin, Germany D-53754#TAB#"
46509277,West Virginia High Technology Consortium Foundation
46509277,West Virginia University
46527871,"CICESE, Ensenada, B. C., Mexico#TAB#"
46527871,"CIC-IPN, México, D. F., Mexico#TAB#"
46527871,"UAM-Azcapotzalco, México, D. F., Mexico#TAB#"
46568314,University of Oxford
46718429,"Parietal Team, INRIA Saclay-Île-de-France"
46718429,Stony Brook University
46880366,The University of Manchester
46893310,Polish Japanese Institute of Information Technology
46990586,University of Freiburg
47184174,Tel-Aviv University
